date,observer,time_of_day,time ,turtle_id ,entry_position,entry_prox,bouts ,session
12/22/23,gh,AM,8:21,74,under,medium,1,1
12/22/23,gh,AM,8:22,56,under,medium,1,1
12/22/23,gh,AM,8:22,74,under,medium,1,1
12/22/23,gh,AM,8:24,80,under,far,1,1
12/22/23,gh,AM,8:25,56,under,medium,3,1
12/22/23,gh,AM,8:26,74,under,medium,1,1
12/22/23,gh,AM,8:27,9,under,medium,3,1
12/22/23,gh,AM,8:28,48,under,close,1,1
12/22/23,gh,AM,8:28,54,under,close,1,1
12/22/23,gh,AM,8:29,56,under,close,3,1
12/22/23,gh,AM,8:29,33,under,close,2,1
12/22/23,gh,AM,8:30,80,under,far,2,1
12/22/23,gh,AM,8:31,56,direct,medium,1,1
12/22/23,gh,AM,8:33,100,under,medium,1,1
12/22/23,gh,AM,8:34,56,direct,far,1,1
12/22/23,gh,AM,8:37,77,under,medium,1,1
12/22/23,gh,AM,8:37,100,under,medium,1,1
12/22/23,gh,AM,8:38,56,direct,far,1,1
12/22/23,gh,AM,8:41,70,under,medium,1,1
12/22/23,gh,AM,8:41,77,under,medium,1,1
12/22/23,gh,AM,8:42,70,under,medium,2,1
12/22/23,gh,AM,8:42,77,under,far,1,1
12/22/23,gh,AM,8:43,70,under,close,1,1
12/22/23,gh,AM,8:43,100,under,far,1,1
12/22/23,gh,AM,8:46,100,under,close,1,1
12/22/23,gh,AM,8:46,77,under,close,1,1
12/22/23,gh,AM,8:47,74,under,medium,1,1
12/22/23,gh,AM,8:47,56,under,medium,1,1
12/22/23,gh,AM,8:47,19,under,medium,1,1
12/22/23,gh,AM,8:48,9,under,medium,4,1
12/22/23,gh,AM,8:49,66,under,far,1,1
12/22/23,gh,AM,8:49,80,under,far,1,1
12/22/23,gh,AM,8:50,9,under,medium,1,1
12/22/23,gh,AM,8:51,87,under,medium,1,1
12/22/23,gh,AM,8:51,9,under,medium,1,1
12/22/23,gh,AM,8:52,9,under,close,1,1
12/22/23,gh,AM,8:53,56,under,close,1,1
12/22/23,gh,AM,8:53,9,under,close,3,1
12/22/23,gh,AM,8:53,4,under,close,1,1
12/22/23,gh,AM,8:54,100,under,medium,1,1
12/22/23,gh,AM,8:54,56,under,medium,1,1
12/22/23,gh,AM,8:54,9,under,close,2,1
12/22/23,gh,AM,8:55,66,under,medium,1,1
12/22/23,gh,AM,8:55,9,under,medium,2,1
12/22/23,gh,AM,8:55,70,under,far,1,1
12/22/23,gh,AM,8:57,4,under,far,1,1
12/22/23,gh,AM,8:59,56,under,far,1,1
12/22/23,gh,AM,9:01,56,under,far,1,1
12/22/23,gh,AM,9:01,19,under,medium,1,1
12/22/23,gh,AM,9:01,33,under,medium,1,1
12/22/23,gh,AM,9:01,66,under,medium,1,1
12/22/23,gh,AM,9:03,56,under,close,1,1
12/22/23,gh,AM,9:03,54,under,close,1,1
12/22/23,gh,AM,9:03,33,under,close,3,1
12/22/23,gh,AM,9:05,9,under,close,2,1
12/22/23,gh,AM,9:05,33,under,close,2,1
12/22/23,gh,AM,9:06,33,under,close,1,1
12/22/23,gh,AM,9:06,9,under,medium,1,1
12/22/23,gh,AM,9:07,33,under,medium,1,1
12/22/23,gh,AM,9:07,9,under,medium,1,1
12/22/23,gh,AM,9:08,74,under,far,1,1
12/22/23,gh,AM,9:08,100,under,far,1,1
12/22/23,gh,AM,9:08,54,under,far,1,1
12/22/23,gh,AM,9:08,56,under,medium,2,1
